date,item_id,item_name,quantity_sold,price,cost,temperature,humidity,rainfall,feels_like_temp,is_holiday_x,is_exam_week,is_festival,student_count,staff_available,canteen_capacity,event_today,hostel_open,is_holiday_y,is_exam_period,day_of_week,month,day_of_year,week_of_year,is_weekend,sales_lag_1,sales_lag_7,sales_3day_avg,sales_same_day_prev_week,estimated_waste,waste_lag_1,revenue,total_cost,profit,item_popularity_rank,is_monsoon,is_winter,is_summer,temp_humidity_interaction,rain_temp_interaction,student_weekend_interaction,item_id_encoded
2023-01-01,chicken_roll,Chicken Roll,52,40,25,15.3,40.0,3.1,13.3,0,0,0,21,2,320,0,1,0,0,6,1,1,52,1,0.0,0.0,52.0,0.0,2.8383365596911303,0.0,2080,1300,780,4.0,0,1,0,6.12,76.57,21,0
2023-01-02,chicken_roll,Chicken Roll,65,40,25,23.5,40.0,0.0,21.5,0,0,0,239,6,450,1,1,0,0,0,1,2,1,0,52.0,0.0,58.5,0.0,6.274280746774391,2.8383365596911303,2600,1625,975,4.0,0,1,0,9.4,0.0,0,0
2023-01-03,chicken_roll,Chicken Roll,99,40,25,17.6,70.7,0.0,18.7,0,0,0,139,6,320,0,1,0,0,1,1,3,1,0,65.0,0.0,72.0,0.0,11.753997204222367,6.274280746774391,3960,2475,1485,4.0,0,1,0,12.443200000000001,0.0,0,0
2023-01-04,chicken_roll,Chicken Roll,134,40,25,23.8,58.1,0.0,23.6,0,0,0,133,7,320,0,1,0,0,2,1,4,1,0,99.0,0.0,99.33333333333333,0.0,16.089003404857547,11.753997204222367,5360,3350,2010,4.0,0,1,0,13.8278,0.0,0,0
2023-01-05,chicken_roll,Chicken Roll,251,40,25,29.7,90.5,0.0,32.7,0,0,0,167,7,320,0,1,0,0,3,1,5,1,0,134.0,0.0,161.33333333333334,0.0,14.840566456152773,16.089003404857547,10040,6275,3765,4.0,0,1,0,26.8785,0.0,0,0
2023-01-06,chicken_roll,Chicken Roll,103,40,25,28.3,48.8,0.0,27.2,0,0,0,150,7,320,0,1,0,0,4,1,6,1,0,251.0,0.0,162.66666666666666,0.0,8.34946114544175,14.840566456152773,4120,2575,1545,4.0,0,1,0,13.8104,0.0,0,0
2023-01-07,chicken_roll,Chicken Roll,85,40,25,22.6,71.2,0.0,23.8,0,0,0,88,2,320,0,1,0,0,5,1,7,1,1,103.0,0.0,146.33333333333334,0.0,5.491710973842087,8.34946114544175,3400,2125,1275,4.0,0,1,0,16.0912,0.0,88,0
2023-01-08,chicken_roll,Chicken Roll,102,40,25,17.5,49.6,0.0,16.5,0,0,0,55,3,320,0,1,0,0,6,1,8,1,1,85.0,52.0,96.66666666666667,52.0,12.92988396354374,5.491710973842087,4080,2550,1530,4.0,0,1,0,8.68,0.0,55,0
2023-01-09,chicken_roll,Chicken Roll,168,40,25,22.4,40.0,0.0,20.4,0,0,0,156,6,320,0,1,0,0,0,1,9,2,0,102.0,65.0,118.33333333333333,65.0,11.570399907169838,12.92988396354374,6720,4200,2520,4.0,0,1,0,8.96,0.0,0,0
2023-01-10,chicken_roll,Chicken Roll,67,40,25,28.7,70.0,0.0,29.7,0,0,0,152,5,320,0,1,0,0,1,1,10,2,0,168.0,99.0,112.33333333333333,99.0,4.805111054492129,11.570399907169838,2680,1675,1005,4.0,0,1,0,20.09,0.0,0,0
2023-01-11,chicken_roll,Chicken Roll,155,40,25,15.0,49.6,0.0,14.0,0,0,0,148,7,320,0,1,0,0,2,1,11,2,0,67.0,134.0,130.0,134.0,10.546186377569548,4.805111054492129,6200,3875,2325,4.0,0,1,0,7.44,0.0,0,0
2023-01-12,chicken_roll,Chicken Roll,127,40,25,19.3,62.1,0.0,19.5,0,0,0,151,7,320,0,1,0,0,3,1,12,2,0,155.0,251.0,116.33333333333333,251.0,16.598419037169926,10.546186377569548,5080,3175,1905,4.0,0,1,0,11.9853,0.0,0,0
2023-01-13,chicken_roll,Chicken Roll,114,40,25,15.1,40.0,0.0,13.1,0,0,0,114,7,320,0,1,0,0,4,1,13,2,0,127.0,103.0,132.0,103.0,14.934882067612122,16.598419037169926,4560,2850,1710,4.0,0,1,0,6.04,0.0,0,0
2023-01-14,chicken_roll,Chicken Roll,90,40,25,23.0,40.0,0.0,21.0,0,0,0,76,4,320,0,1,0,0,5,1,14,2,1,114.0,85.0,110.33333333333333,85.0,9.96442860413741,14.934882067612122,3600,2250,1350,4.0,0,1,0,9.2,0.0,76,0
2023-01-15,chicken_roll,Chicken Roll,85,40,25,27.7,87.5,0.0,30.4,0,0,0,57,4,320,0,1,0,0,6,1,15,2,1,90.0,102.0,96.33333333333333,102.0,8.813672784132395,9.96442860413741,3400,2125,1275,4.0,0,1,0,24.2375,0.0,57,0
2023-01-16,chicken_roll,Chicken Roll,228,40,25,27.9,45.1,0.0,26.4,0,0,0,154,7,320,0,1,0,0,0,1,16,3,0,85.0,168.0,134.33333333333334,168.0,18.818813833709694,8.813672784132395,9120,5700,3420,4.0,0,1,0,12.5829,0.0,0,0
2023-01-17,chicken_roll,Chicken Roll,165,40,25,22.5,73.8,0.0,23.9,0,0,0,167,5,320,0,1,0,0,1,1,17,3,0,228.0,67.0,159.33333333333334,67.0,8.681827292574324,18.818813833709694,6600,4125,2475,4.0,0,1,0,16.605,0.0,0,0
2023-01-18,chicken_roll,Chicken Roll,115,40,25,16.5,96.9,0.0,20.2,0,0,0,118,7,320,0,1,0,0,2,1,18,3,0,165.0,155.0,169.33333333333334,155.0,12.216835039012514,8.681827292574324,4600,2875,1725,4.0,0,1,0,15.988500000000002,0.0,0,0
