date,item_id,item_name,quantity_sold
2023-01-01,veg_biryani,Veg Biryani,85
2023-01-01,fish_curry_rice,Fish Curry Rice,45
2023-01-01,luchi_aloo,Luchi Aloo,74
2023-01-01,ghugni,Ghugni,9
2023-01-01,maggi,Maggi,154
2023-01-01,tea_biscuit,Tea Biscuit,23
2023-01-01,chicken_roll,Chicken Roll,78
2023-01-01,egg_roll,Egg Roll,47
2023-01-01,veg_momo,Veg Momo,40
2023-01-01,ice_cream,Ice Cream,43
2023-01-02,veg_biryani,Veg Biryani,113
2023-01-02,fish_curry_rice,Fish Curry Rice,204
2023-01-02,luchi_aloo,Luchi Aloo,81
2023-01-02,ghugni,Ghugni,127
2023-01-02,maggi,Maggi,87
2023-01-02,tea_biscuit,Tea Biscuit,159
2023-01-02,chicken_roll,Chicken Roll,158
2023-01-02,egg_roll,Egg Roll,62
2023-01-02,veg_momo,Veg Momo,103
2023-01-02,ice_cream,Ice Cream,110
2023-01-03,veg_biryani,Veg Biryani,78
2023-01-03,fish_curry_rice,Fish Curry Rice,146
2023-01-03,luchi_aloo,Luchi Aloo,80
2023-01-03,ghugni,Ghugni,139
2023-01-03,maggi,Maggi,323
2023-01-03,tea_biscuit,Tea Biscuit,224
2023-01-03,chicken_roll,Chicken Roll,132
2023-01-03,egg_roll,Egg Roll,171
2023-01-03,veg_momo,Veg Momo,148
2023-01-03,ice_cream,Ice Cream,125
2023-01-04,veg_biryani,Veg Biryani,194
2023-01-04,fish_curry_rice,Fish Curry Rice,94
2023-01-04,luchi_aloo,Luchi Aloo,171
2023-01-04,ghugni,Ghugni,120
2023-01-04,maggi,Maggi,206
2023-01-04,tea_biscuit,Tea Biscuit,69
2023-01-04,chicken_roll,Chicken Roll,209
2023-01-04,egg_roll,Egg Roll,145
2023-01-04,veg_momo,Veg Momo,100
2023-01-04,ice_cream,Ice Cream,79
2023-01-05,veg_biryani,Veg Biryani,211
2023-01-05,fish_curry_rice,Fish Curry Rice,25
2023-01-05,luchi_aloo,Luchi Aloo,30
2023-01-05,ghugni,Ghugni,190
2023-01-05,maggi,Maggi,217
2023-01-05,tea_biscuit,Tea Biscuit,61
2023-01-05,chicken_roll,Chicken Roll,198
2023-01-05,egg_roll,Egg Roll,152
2023-01-05,veg_momo,Veg Momo,55
2023-01-05,ice_cream,Ice Cream,128
2023-01-06,veg_biryani,Veg Biryani,157
2023-01-06,fish_curry_rice,Fish Curry Rice,154
2023-01-06,luchi_aloo,Luchi Aloo,87
2023-01-06,ghugni,Ghugni,140
2023-01-06,maggi,Maggi,128
2023-01-06,tea_biscuit,Tea Biscuit,73
2023-01-06,chicken_roll,Chicken Roll,121
2023-01-06,egg_roll,Egg Roll,124
2023-01-06,veg_momo,Veg Momo,79
2023-01-06,ice_cream,Ice Cream,85
2023-01-07,veg_biryani,Veg Biryani,86
2023-01-07,fish_curry_rice,Fish Curry Rice,32
2023-01-07,luchi_aloo,Luchi Aloo,72
2023-01-07,ghugni,Ghugni,41
2023-01-07,maggi,Maggi,97
2023-01-07,tea_biscuit,Tea Biscuit,92
2023-01-07,chicken_roll,Chicken Roll,55
2023-01-07,egg_roll,Egg Roll,25
2023-01-07,veg_momo,Veg Momo,110
2023-01-07,ice_cream,Ice Cream,32
2023-01-08,veg_biryani,Veg Biryani,114
2023-01-08,fish_curry_rice,Fish Curry Rice,79
2023-01-08,luchi_aloo,Luchi Aloo,8
2023-01-08,ghugni,Ghugni,27
2023-01-08,maggi,Maggi,47
2023-01-08,tea_biscuit,Tea Biscuit,82
2023-01-08,chicken_roll,Chicken Roll,48
2023-01-08,egg_roll,Egg Roll,16
2023-01-08,veg_momo,Veg Momo,37
2023-01-08,ice_cream,Ice Cream,78
2023-01-09,veg_biryani,Veg Biryani,190
2023-01-09,fish_curry_rice,Fish Curry Rice,80
2023-01-09,luchi_aloo,Luchi Aloo,101
2023-01-09,ghugni,Ghugni,106
2023-01-09,maggi,Maggi,311
2023-01-09,tea_biscuit,Tea Biscuit,183
2023-01-09,chicken_roll,Chicken Roll,199
2023-01-09,egg_roll,Egg Roll,106
2023-01-09,veg_momo,Veg Momo,124
2023-01-09,ice_cream,Ice Cream,66
2023-01-10,veg_biryani,Veg Biryani,45
2023-01-10,fish_curry_rice,Fish Curry Rice,82
2023-01-10,luchi_aloo,Luchi Aloo,125
2023-01-10,ghugni,Ghugni,156
2023-01-10,maggi,Maggi,159
2023-01-10,tea_biscuit,Tea Biscuit,169
2023-01-10,chicken_roll,Chicken Roll,106
2023-01-10,egg_roll,Egg Roll,131
2023-01-10,veg_momo,Veg Momo,139
2023-01-10,ice_cream,Ice Cream,46
2023-01-11,veg_biryani,Veg Biryani,72
2023-01-11,fish_curry_rice,Fish Curry Rice,134
2023-01-11,luchi_aloo,Luchi Aloo,145
2023-01-11,ghugni,Ghugni,115
2023-01-11,maggi,Maggi,318
2023-01-11,tea_biscuit,Tea Biscuit,163
2023-01-11,chicken_roll,Chicken Roll,246
2023-01-11,egg_roll,Egg Roll,147
2023-01-11,veg_momo,Veg Momo,149
2023-01-11,ice_cream,Ice Cream,109
2023-01-12,veg_biryani,Veg Biryani,186
2023-01-12,fish_curry_rice,Fish Curry Rice,55
2023-01-12,luchi_aloo,Luchi Aloo,44
2023-01-12,ghugni,Ghugni,86
2023-01-12,maggi,Maggi,256
2023-01-12,tea_biscuit,Tea Biscuit,153
2023-01-12,chicken_roll,Chicken Roll,229
2023-01-12,egg_roll,Egg Roll,200
2023-01-12,veg_momo,Veg Momo,57
2023-01-12,ice_cream,Ice Cream,109
2023-01-13,veg_biryani,Veg Biryani,72
2023-01-13,fish_curry_rice,Fish Curry Rice,171
2023-01-13,luchi_aloo,Luchi Aloo,156
2023-01-13,ghugni,Ghugni,95
2023-01-13,maggi,Maggi,326
2023-01-13,tea_biscuit,Tea Biscuit,143
2023-01-13,chicken_roll,Chicken Roll,105
2023-01-13,egg_roll,Egg Roll,213
2023-01-13,veg_momo,Veg Momo,76
2023-01-13,ice_cream,Ice Cream,73
2023-01-14,veg_biryani,Veg Biryani,32
2023-01-14,fish_curry_rice,Fish Curry Rice,130
2023-01-14,luchi_aloo,Luchi Aloo,70
2023-01-14,ghugni,Ghugni,46
2023-01-14,maggi,Maggi,60
2023-01-14,tea_biscuit,Tea Biscuit,97
2023-01-14,chicken_roll,Chicken Roll,46
2023-01-14,egg_roll,Egg Roll,100
2023-01-14,veg_momo,Veg Momo,71
2023-01-14,ice_cream,Ice Cream,0
2023-01-15,veg_biryani,Veg Biryani,92
2023-01-15,fish_curry_rice,Fish Curry Rice,43
2023-01-15,luchi_aloo,Luchi Aloo,41
2023-01-15,ghugni,Ghugni,7
2023-01-15,maggi,Maggi,172
2023-01-15,tea_biscuit,Tea Biscuit,111
2023-01-15,chicken_roll,Chicken Roll,101
2023-01-15,egg_roll,Egg Roll,57
2023-01-15,veg_momo,Veg Momo,67
2023-01-15,ice_cream,Ice Cream,8
2023-01-16,veg_biryani,Veg Biryani,183
2023-01-16,fish_curry_rice,Fish Curry Rice,146
2023-01-16,luchi_aloo,Luchi Aloo,160
2023-01-16,ghugni,Ghugni,66
2023-01-16,maggi,Maggi,307
2023-01-16,tea_biscuit,Tea Biscuit,126
2023-01-16,chicken_roll,Chicken Roll,103
2023-01-16,egg_roll,Egg Roll,61
2023-01-16,veg_momo,Veg Momo,56
2023-01-16,ice_cream,Ice Cream,106
2023-01-17,veg_biryani,Veg Biryani,208
2023-01-17,fish_curry_rice,Fish Curry Rice,67
2023-01-17,luchi_aloo,Luchi Aloo,103
2023-01-17,ghugni,Ghugni,141
2023-01-17,maggi,Maggi,90
2023-01-17,tea_biscuit,Tea Biscuit,93
2023-01-17,chicken_roll,Chicken Roll,222
2023-01-17,egg_roll,Egg Roll,69
2023-01-17,veg_momo,Veg Momo,144
2023-01-17,ice_cream,Ice Cream,0
2023-01-18,veg_biryani,Veg Biryani,86
2023-01-18,fish_curry_rice,Fish Curry Rice,100
2023-01-18,luchi_aloo,Luchi Aloo,156
2023-01-18,ghugni,Ghugni,47
2023-01-18,maggi,Maggi,226
2023-01-18,tea_biscuit,Tea Biscuit,198
2023-01-18,chicken_roll,Chicken Roll,187
2023-01-18,egg_roll,Egg Roll,80
2023-01-18,veg_momo,Veg Momo,176
2023-01-18,ice_cream,Ice Cream,61
2023-01-19,veg_biryani,Veg Biryani,176
